"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"10-fish-weights-reproduction"
"01/02/2025 16:53:33:078 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","dolphin-communication-range","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"52","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","338","0.3165680473372781","107","10.7","0"
"53","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","479","0.2359081419624217","113","11.3","0"
"54","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","407","0.29238329238329236","119","11.9","0"
"57","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","418","0.2727272727272727","114","11.4","0"
"55","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","379","0.3034300791556728","115","11.5","0"
"56","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","361","0.296398891966759","107","10.7","0"
"58","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","289","0.39792387543252594","115","11.5","0"
"59","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","252","0.4444444444444444","112","11.2","0"
"61","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","364","0.3159340659340659","115","11.5","0"
"62","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","339","0.3421828908554572","116","11.6","0"
"63","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","407","0.28746928746928746","117","11.7","0"
"64","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","373","0.3002680965147453","112","11.2","0"
"60","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","422","0.2772511848341232","117","11.7","0"
"65","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","383","0.31070496083550914","119","11.9","0"
"67","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","320","0.346875","111","11.1","0"
"68","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","287","0.37630662020905925","108","10.8","0"
"69","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","298","0.3724832214765101","111","11.1","0"
"66","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","529","0.2381852551984877","126","12.6","0"
"70","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","264","0.4090909090909091","108","10.8","0"
"73","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","354","0.3389830508474576","120","12","0"
"72","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","287","0.3902439024390244","112","11.2","0"
"74","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","410","0.3048780487804878","125","12.5","0"
"71","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","727","0.16368638239339753","119","11.9","0"
"75","true","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","440","0.26590909090909093","117","11.7","0"
"76","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","257","0.4163424124513619","107","10.7","0"
"77","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","390","0.28974358974358977","113","11.3","0"
"78","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","592","0.20101351351351351","119","11.9","0"
"79","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","314","0.3535031847133758","111","11.1","0"
"82","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","260","0.4461538461538462","116","11.6","0"
"81","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","429","0.2773892773892774","119","11.9","0"
"83","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","295","0.37966101694915255","112","11.2","0"
"80","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","550","0.2290909090909091","126","12.6","0"
"85","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","351","0.3247863247863248","114","11.4","0"
"86","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","356","0.3398876404494382","121","12.1","0"
"87","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","282","0.3971631205673759","112","11.2","0"
"84","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","365","0.3178082191780822","116","11.6","0"
"90","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","368","0.3179347826086957","117","11.7","0"
"89","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","538","0.2174721189591078","117","11.7","0"
"91","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","332","0.3644578313253012","121","12.1","0"
"92","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","308","0.37337662337662336","115","11.5","0"
"88","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","452","0.26548672566371684","120","12","0"
"94","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","542","0.21033210332103322","114","11.4","0"
"93","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","594","0.19696969696969696","117","11.7","0"
"96","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","385","0.3090909090909091","119","11.9","0"
"95","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","393","0.2900763358778626","114","11.4","0"
"97","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","551","0.21960072595281308","121","12.1","0"
"98","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","398","0.2864321608040201","114","11.4","0"
"100","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","266","0.40977443609022557","109","10.9","0"
"99","true","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","435","0.2597701149425287","113","11.3","0"
"101","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","287","0.3867595818815331","111","11.1","0"
"102","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","487","0.23613963039014374","115","11.5","0"
"104","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","391","0.2915601023017903","114","11.4","0"
"105","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","402","0.2885572139303483","116","11.6","0"
"103","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","358","0.3100558659217877","111","11.1","0"
"106","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","385","0.2909090909090909","112","11.2","0"
"107","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","375","0.29333333333333333","110","11","0"
"108","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","401","0.2743142144638404","110","11","0"
"109","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","455","0.2549450549450549","116","11.6","0"
"112","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","368","0.30434782608695654","112","11.2","0"
"111","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","373","0.30563002680965146","114","11.4","0"
"113","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","429","0.2727272727272727","117","11.7","0"
"110","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","429","0.2773892773892774","119","11.9","0"
"115","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","419","0.2720763723150358","114","11.4","0"
"116","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","305","0.3704918032786885","113","11.3","0"
"114","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","502","0.24302788844621515","122","12.2","0"
"118","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","341","0.3548387096774194","121","12.1","0"
"117","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","467","0.2633832976445396","123","12.3","0"
"119","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","405","0.2938271604938272","119","11.9","0"
"120","true","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","384","0.2760416666666667","106","10.6","0"
"122","true","150","1.2","3","3","1","10","100","1","3","20","8","1","1","358","0.3100558659217877","111","11.1","0"
"121","true","150","1.2","3","3","1","10","100","1","3","20","8","1","1","368","0.3070652173913043","113","11.3","0"
"123","true","150","1.2","3","3","1","10","100","1","3","20","8","1","1","512","0.240234375","123","12.3","0"
"125","true","150","1.2","3","3","1","10","100","1","3","20","8","1","1","296","0.375","111","11.1","0"
"124","true","150","1.2","3","3","1","10","100","1","3","20","8","1","1","378","0.3148148148148148","119","11.9","0"
