"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"10-fish-weights"
"01/02/2025 16:53:06:162 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","dolphin-communication-range","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"53","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","371","0.2695417789757412","100","10","0"
"55","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.1","354","0.2824858757062147","100","10","0"
"57","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","286","0.34965034965034963","100","10","0"
"56","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","332","0.30120481927710846","100","10","0"
"60","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","328","0.3048780487804878","100","10","0"
"58","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","305","0.32786885245901637","100","10","0"
"62","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","319","0.31347962382445144","100","10","0"
"59","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.3","326","0.3067484662576687","100","10","0"
"61","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","407","0.2457002457002457","100","10","0"
"63","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","225","0.4444444444444444","100","10","0"
"65","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","399","0.2506265664160401","100","10","0"
"64","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.5","268","0.373134328358209","100","10","0"
"66","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","265","0.37735849056603776","100","10","0"
"67","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","334","0.2994011976047904","100","10","0"
"68","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","348","0.28735632183908044","100","10","0"
"70","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","404","0.24752475247524752","100","10","0"
"69","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","0.7","256","0.390625","100","10","0"
"71","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","431","0.23201856148491878","100","10","0"
"72","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","321","0.3115264797507788","100","10","0"
"73","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","280","0.35714285714285715","100","10","0"
"74","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","289","0.3460207612456747","100","10","0"
"75","false","150","1.2","3","3","1","10","100","1","3","20","8","0.5","1","263","0.38022813688212925","100","10","0"
"76","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","216","0.46296296296296297","100","10","0"
"80","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","219","0.45662100456621","100","10","0"
"77","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","354","0.2824858757062147","100","10","0"
"79","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","270","0.37037037037037035","100","10","0"
"78","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.1","392","0.25510204081632654","100","10","0"
"81","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","453","0.22075055187637968","100","10","0"
"84","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","202","0.49504950495049505","100","10","0"
"83","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","397","0.2518891687657431","100","10","0"
"87","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","316","0.31645569620253167","100","10","0"
"82","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","335","0.29850746268656714","100","10","0"
"86","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","273","0.3663003663003663","100","10","0"
"85","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.3","307","0.3257328990228013","100","10","0"
"88","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","391","0.2557544757033248","100","10","0"
"89","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","310","0.3225806451612903","100","10","0"
"90","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.5","499","0.20040080160320642","100","10","0"
"91","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","272","0.36764705882352944","100","10","0"
"92","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","320","0.3125","100","10","0"
"93","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","296","0.33783783783783783","100","10","0"
"95","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","236","0.423728813559322","100","10","0"
"94","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","0.7","423","0.2364066193853428","100","10","0"
"97","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","332","0.30120481927710846","100","10","0"
"96","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","326","0.3067484662576687","100","10","0"
"98","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","310","0.3225806451612903","100","10","0"
"99","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","293","0.3412969283276451","100","10","0"
"101","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","348","0.28735632183908044","100","10","0"
"100","false","150","1.2","3","3","1","10","100","1","3","20","8","0.7","1","367","0.2724795640326976","100","10","0"
"102","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","340","0.29411764705882354","100","10","0"
"104","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","346","0.28901734104046245","100","10","0"
