"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"13-dolphin-communication-10-range"
"01/02/2025 18:03:27:447 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","238","0.42016806722689076","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","261","0.3831417624521073","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","280","0.35714285714285715","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","326","0.3067484662576687","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","338","0.2958579881656805","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","234","0.42735042735042733","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","198","0.5050505050505051","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","220","0.45454545454545453","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","302","0.33112582781456956","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","252","0.3968253968253968","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","323","0.30959752321981426","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","328","0.3048780487804878","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","314","0.3184713375796178","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","363","0.27548209366391185","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","287","0.34843205574912894","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","253","0.3952569169960474","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","309","0.32362459546925565","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","410","0.24390243902439024","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","291","0.3436426116838488","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","368","0.2717391304347826","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","342","0.29239766081871343","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","462","0.21645021645021645","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","207","0.4830917874396135","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","345","0.2898550724637681","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","257","0.38910505836575876","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","452","0.22123893805309736","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","348","0.28735632183908044","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","339","0.2949852507374631","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","359","0.2785515320334262","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","317","0.31545741324921134","100","10","0"
"32","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","247","0.4048582995951417","100","10","0"
"31","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","352","0.2840909090909091","100","10","0"
"35","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","271","0.36900369003690037","100","10","0"
"33","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","407","0.2457002457002457","100","10","0"
"34","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","229","0.4366812227074236","100","10","0"
"37","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","341","0.2932551319648094","100","10","0"
"38","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","316","0.31645569620253167","100","10","0"
"36","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","298","0.33557046979865773","100","10","0"
"40","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","260","0.38461538461538464","100","10","0"
"39","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","291","0.3436426116838488","100","10","0"
"42","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","224","0.44642857142857145","100","10","0"
"41","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","352","0.2840909090909091","100","10","0"
"43","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","341","0.2932551319648094","100","10","0"
"44","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","326","0.3067484662576687","100","10","0"
"48","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","243","0.411522633744856","100","10","0"
"47","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","10","328","0.3048780487804878","100","10","0"
