"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"3-fish-speed-reproduction"
"12/30/2024 16:56:47:240 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","initial-number-dolphins","initial-number-fish","speed-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","1.2","3","3","150","10","100","1","350","0.32","112","11.2","0"
"4","true","1.2","3","3","150","10","100","1","399","0.3182957393483709","127","12.7","0"
"2","true","1.2","3","3","150","10","100","1","381","0.3123359580052493","119","11.9","0"
"3","true","1.2","3","3","150","10","100","1","418","0.29904306220095694","125","12.5","0"
"1","true","1.2","3","3","150","10","100","1","520","0.22884615384615384","119","11.9","0"
"9","true","1.2","3","3","150","10","100","1.2","883","0.19479048697621745","172","17.2","0"
"7","true","1.2","3","3","150","10","100","1.2","748","0.2179144385026738","163","16.3","0"
"8","true","1.2","3","3","150","10","100","1.2","695","0.22158273381294963","154","15.4","0"
"6","true","1.2","3","3","150","10","100","1.2","1125","0.2551111111111111","287","28.7","0"
"10","true","1.2","3","3","150","10","100","1.2","1127","0.19698314108251996","222","22.2","0"
"12","true","1.2","3","3","150","10","100","1.5","100000","0.13063","13063","1306.3","21"
"12","true","1.2","3","3","150","10","100","1.5","100001","0.13062869371306288","13063","1306.3","21"
"13","true","1.2","3","3","150","10","100","1.5","100000","0.12542","12542","1254.2","21"
"13","true","1.2","3","3","150","10","100","1.5","100001","0.12541874581254187","12542","1254.2","21"
"14","true","1.2","3","3","150","10","100","1.5","100000","0.13203","13203","1320.3","29"
"14","true","1.2","3","3","150","10","100","1.5","100001","0.13202867971320287","13203","1320.3","29"
"11","true","1.2","3","3","150","10","100","1.5","100000","0.13006","13006","1300.6","25"
"11","true","1.2","3","3","150","10","100","1.5","100001","0.13005869941300588","13006","1300.6","25"
"19","true","1.2","3","3","150","10","100","1.7","19293","0.045405069196081484","876","87.6","0"
"17","true","1.2","3","3","150","10","100","1.7","22166","0.06690426779752774","1483","148.3","0"
"21","true","1.2","3","3","150","10","100","2","944","0.1716101694915254","162","16.2","0"
"22","true","1.2","3","3","150","10","100","2","3269","0.055674518201284794","182","18.2","0"
"15","true","1.2","3","3","150","10","100","1.5","100000","0.12912","12912","1291.2","4"
"15","true","1.2","3","3","150","10","100","1.5","100001","0.12911870881291188","12912","1291.2","4"
"23","true","1.2","3","3","150","10","100","2","1793","0.09592861126603458","172","17.2","0"
"20","true","1.2","3","3","150","10","100","1.7","8615","0.07034242600116077","606","60.6","0"
"16","true","1.2","3","3","150","10","100","1.7","38041","0.06148629110696354","2339","233.9","0"
"25","true","1.2","3","3","150","10","100","2","1787","0.09289311695579183","166","16.6","0"
"24","true","1.2","3","3","150","10","100","2","4632","0.043825561312607945","203","20.3","0"
"18","true","1.2","3","3","150","10","100","1.7","35997","0.05267105592132678","1896","189.6","0"
