"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"10-fish-weights-reproduction"
"01/01/2025 18:52:12:486 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"55","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","455","0.24615384615384617","112","11.2","0"
"54","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","327","0.37003058103975534","121","12.1","0"
"58","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","345","0.3188405797101449","110","11","0"
"56","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","453","0.271523178807947","123","12.3","0"
"57","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","618","0.19579288025889968","121","12.1","0"
"59","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","527","0.21631878557874762","114","11.4","0"
"62","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","362","0.3287292817679558","119","11.9","0"
"61","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","498","0.23493975903614459","117","11.7","0"
"60","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","578","0.21453287197231835","124","12.4","0"
"63","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","279","0.41935483870967744","117","11.7","0"
"64","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","398","0.2989949748743719","119","11.9","0"
"67","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.7","360","0.31666666666666665","114","11.4","0"
"65","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","524","0.22328244274809161","117","11.7","0"
"68","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.7","428","0.26869158878504673","115","11.5","0"
"66","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.7","417","0.27577937649880097","115","11.5","0"
"70","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.7","404","0.25742574257425743","104","10.4","0"
"69","true","150","1.2","3","3","1","10","100","1","3","20","0.5","0.7","585","0.20170940170940171","118","11.8","0"
"72","true","150","1.2","3","3","1","10","100","1","3","20","0.5","1","314","0.35987261146496813","113","11.3","0"
"71","true","150","1.2","3","3","1","10","100","1","3","20","0.5","1","533","0.21951219512195122","117","11.7","0"
"74","true","150","1.2","3","3","1","10","100","1","3","20","0.5","1","532","0.212406015037594","113","11.3","0"
"76","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","581","0.1927710843373494","112","11.2","0"
"75","true","150","1.2","3","3","1","10","100","1","3","20","0.5","1","440","0.25681818181818183","113","11.3","0"
"73","true","150","1.2","3","3","1","10","100","1","3","20","0.5","1","832","0.15625","130","13","0"
"77","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","273","0.3992673992673993","109","10.9","0"
