"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"7-fish-reproduction"
"12/30/2024 16:58:13:522 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-reproduction-rate","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","true","1.2","3","3","1","10","100","25","150","1.9133333333333333","287","28.7","2213"
"2","true","1.2","3","3","1","10","100","25","150","1.92","288","28.8","2382"
"1","true","1.2","3","3","1","10","100","25","150","1.98","297","29.7","2173"
"5","true","1.2","3","3","1","10","100","25","150","1.92","288","28.8","2642"
"3","true","1.2","3","3","1","10","100","25","150","2.013333333333333","302","30.2","2490"
"7","true","1.2","3","3","1","10","100","50","500","1.458","729","72.9","2009"
"11","true","1.2","3","3","1","10","100","100","837","0.18399044205495818","154","15.4","0"
"9","true","1.2","3","3","1","10","100","50","400","1.6275","651","65.1","2138"
"12","true","1.2","3","3","1","10","100","100","436","0.3119266055045872","136","13.6","0"
"13","true","1.2","3","3","1","10","100","100","573","0.268760907504363","154","15.4","0"
"10","true","1.2","3","3","1","10","100","50","450","1.4155555555555555","637","63.7","2319"
"6","true","1.2","3","3","1","10","100","50","450","1.6022222222222222","721","72.1","2572"
"16","true","1.2","3","3","1","10","100","150","351","0.3162393162393162","111","11.1","0"
"17","true","1.2","3","3","1","10","100","150","523","0.2198852772466539","115","11.5","0"
"15","true","1.2","3","3","1","10","100","100","549","0.24408014571949","134","13.4","0"
"14","true","1.2","3","3","1","10","100","100","733","0.2291950886766712","168","16.8","0"
"18","true","1.2","3","3","1","10","100","150","420","0.28095238095238095","118","11.8","0"
"20","true","1.2","3","3","1","10","100","150","389","0.3110539845758355","121","12.1","0"
"21","true","1.2","3","3","1","10","100","300","513","0.19883040935672514","102","10.2","0"
"22","true","1.2","3","3","1","10","100","300","330","0.30606060606060603","101","10.1","0"
"19","true","1.2","3","3","1","10","100","150","405","0.2938271604938272","119","11.9","0"
"23","true","1.2","3","3","1","10","100","300","272","0.36764705882352944","100","10","0"
"25","true","1.2","3","3","1","10","100","300","274","0.36496350364963503","100","10","0"
"24","true","1.2","3","3","1","10","100","300","503","0.20278330019880716","102","10.2","0"
"8","true","1.2","3","3","1","10","100","50","500","1.782","891","89.1","3448"
