"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"5-fish-vision-reproduction"
"12/28/2024 01:51:38:211 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","true","1.2","3","150","1","10","100","1","252","0.42857142857142855","108","10.8","0"
"2","true","1.2","3","150","1","10","100","1","196","0.5204081632653061","102","10.2","0"
"5","true","1.2","3","150","1","10","100","1","361","0.29085872576177285","105","10.5","0"
"3","true","1.2","3","150","1","10","100","1","422","0.25355450236966826","107","10.7","0"
"7","true","1.2","3","150","1","10","100","3","538","0.21933085501858737","118","11.8","0"
"6","true","1.2","3","150","1","10","100","3","521","0.2476007677543186","129","12.9","0"
"10","true","1.2","3","150","1","10","100","3","292","0.386986301369863","113","11.3","0"
"1","true","1.2","3","150","1","10","100","1","329","0.3161094224924012","104","10.4","0"
"9","true","1.2","3","150","1","10","100","3","860","0.14651162790697675","126","12.6","0"
"8","true","1.2","3","150","1","10","100","3","668","0.20958083832335328","140","14","0"
"11","true","1.2","3","150","1","10","100","5","750","0.2826666666666667","212","21.2","2003"
"13","true","1.2","3","150","1","10","100","5","750","0.18","135","13.5","2251"
"14","true","1.2","3","150","1","10","100","5","900","0.3111111111111111","280","28","3424"
"12","true","1.2","3","150","1","10","100","5","900","0.3188888888888889","287","28.7","3660"
"16","true","1.2","3","150","1","10","100","10","750","0.15733333333333333","118","11.8","2321"
"15","true","1.2","3","150","1","10","100","5","900","0.3333333333333333","300","30","3703"
"17","true","1.2","3","150","1","10","100","10","750","0.058666666666666666","44","4.4","2754"
"19","true","1.2","3","150","1","10","100","10","750","0.036","27","2.7","2804"
"18","true","1.2","3","150","1","10","100","10","750","0.03333333333333333","25","2.5","2900"
"20","true","1.2","3","150","1","10","100","10","750","0.09466666666666666","71","7.1","2692"
